	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
0	 ( 2147483647 0 )	 ( 22 1 )	 ( 25 1 )	 ( 28 1 )	 ( 6 1 )	 ( 28 2 )	 ( 28 2 )	 ( 6 3 )	 ( 6 4 )	 ( 5 4 )	 ( 6 4 )	 ( 6 4 )	 ( 6 3 )	 ( 6 2 )	 ( 6 4 )	 ( 6 2 )	 ( 6 2 )	 ( 5 5 )	 ( 4 4 )	 ( 5 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 2 )	 ( 6 3 )	 ( 6 2 )	 ( 25 3 )	 ( 25 2 )	 ( 22 2 )	 ( 28 3 )	 ( 28 4 )	 ( 28 3 )	 ( 28 3 )	 ( 6 6 )	 ( 6 3 )	 ( 6 3 )	 ( 28 3 )	 ( 6 2 )	 ( 6 2 )	 ( 25 3 )	 ( 25 3 )	 ( 25 2 )	 ( 25 2 )	 ( 6 3 )	 ( 6 3 )	 ( 10 4 )	 ( 6 4 )	 ( 6 4 )	 ( 6 4 )	 ( 6 5 )	 ( 6 5 )	 ( 6 4 )	 ( 6 4 )	 ( 20 3 )	 ( 22 3 )	 ( 22 2 )	 ( 28 4 )	 ( 10 3 )	 ( 16 3 )	 ( 6 3 )	 ( 6 5 )	 ( 28 4 )	 ( 5 5 )	 ( 6 5 )	 ( 5 5 )	 ( 16 4 )	 ( 16 5 )	 ( 16 4 )	 ( 16 4 )	 ( 20 3 )
1	 ( 22 1 )	 ( 2147483647 0 )	 ( 33 2 )	 ( 22 2 )	 ( 6 2 )	 ( 28 2 )	 ( 25 2 )	 ( 6 4 )	 ( 6 5 )	 ( 6 4 )	 ( 6 5 )	 ( 6 5 )	 ( 6 4 )	 ( 6 3 )	 ( 6 5 )	 ( 6 3 )	 ( 6 3 )	 ( 4 4 )	 ( 4 3 )	 ( 6 5 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 4 4 )	 ( 6 3 )	 ( 6 4 )	 ( 6 3 )	 ( 40 2 )	 ( 33 3 )	 ( 40 1 )	 ( 40 3 )	 ( 40 3 )	 ( 25 3 )	 ( 25 3 )	 ( 6 7 )	 ( 14 3 )	 ( 14 4 )	 ( 22 2 )	 ( 6 3 )	 ( 6 3 )	 ( 40 2 )	 ( 40 2 )	 ( 40 1 )	 ( 40 1 )	 ( 6 3 )	 ( 6 2 )	 ( 10 3 )	 ( 6 3 )	 ( 6 3 )	 ( 6 3 )	 ( 4 5 )	 ( 6 6 )	 ( 6 5 )	 ( 6 5 )	 ( 20 2 )	 ( 22 2 )	 ( 22 1 )	 ( 40 3 )	 ( 10 2 )	 ( 16 2 )	 ( 6 4 )	 ( 6 6 )	 ( 22 3 )	 ( 6 5 )	 ( 6 6 )	 ( 6 5 )	 ( 16 3 )	 ( 16 4 )	 ( 16 3 )	 ( 16 3 )	 ( 20 2 )
2	 ( 25 1 )	 ( 33 2 )	 ( 2147483647 0 )	 ( 28 1 )	 ( 6 2 )	 ( 40 2 )	 ( 28 2 )	 ( 6 4 )	 ( 6 5 )	 ( 6 4 )	 ( 6 5 )	 ( 6 5 )	 ( 6 4 )	 ( 6 3 )	 ( 6 5 )	 ( 6 3 )	 ( 6 3 )	 ( 4 4 )	 ( 4 3 )	 ( 6 5 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 4 4 )	 ( 6 3 )	 ( 6 4 )	 ( 6 3 )	 ( 33 2 )	 ( 40 1 )	 ( 33 2 )	 ( 40 3 )	 ( 33 3 )	 ( 28 3 )	 ( 28 3 )	 ( 6 7 )	 ( 14 3 )	 ( 14 4 )	 ( 22 2 )	 ( 6 3 )	 ( 6 3 )	 ( 33 2 )	 ( 33 3 )	 ( 33 1 )	 ( 25 1 )	 ( 6 3 )	 ( 6 2 )	 ( 5 3 )	 ( 6 3 )	 ( 6 3 )	 ( 6 3 )	 ( 4 5 )	 ( 6 6 )	 ( 6 5 )	 ( 6 5 )	 ( 20 3 )	 ( 33 3 )	 ( 33 2 )	 ( 33 3 )	 ( 16 3 )	 ( 16 2 )	 ( 6 4 )	 ( 6 6 )	 ( 22 3 )	 ( 6 5 )	 ( 6 6 )	 ( 6 5 )	 ( 16 3 )	 ( 16 4 )	 ( 16 3 )	 ( 16 3 )	 ( 20 2 )
3	 ( 28 1 )	 ( 22 2 )	 ( 28 1 )	 ( 2147483647 0 )	 ( 6 2 )	 ( 50 1 )	 ( 40 1 )	 ( 6 4 )	 ( 6 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 4 )	 ( 6 3 )	 ( 6 5 )	 ( 6 3 )	 ( 6 3 )	 ( 4 4 )	 ( 4 3 )	 ( 4 5 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 4 4 )	 ( 6 3 )	 ( 6 4 )	 ( 6 3 )	 ( 40 3 )	 ( 50 2 )	 ( 28 3 )	 ( 40 2 )	 ( 40 3 )	 ( 40 2 )	 ( 40 2 )	 ( 6 7 )	 ( 14 3 )	 ( 14 4 )	 ( 50 2 )	 ( 6 3 )	 ( 6 3 )	 ( 33 3 )	 ( 25 2 )	 ( 28 2 )	 ( 28 2 )	 ( 6 4 )	 ( 6 3 )	 ( 10 4 )	 ( 6 4 )	 ( 6 4 )	 ( 6 4 )	 ( 4 5 )	 ( 6 6 )	 ( 6 5 )	 ( 6 5 )	 ( 20 3 )	 ( 22 3 )	 ( 22 2 )	 ( 40 3 )	 ( 10 3 )	 ( 16 3 )	 ( 6 4 )	 ( 6 6 )	 ( 50 3 )	 ( 6 6 )	 ( 6 6 )	 ( 6 6 )	 ( 16 4 )	 ( 16 5 )	 ( 16 4 )	 ( 16 4 )	 ( 20 3 )
4	 ( 6 1 )	 ( 6 2 )	 ( 6 2 )	 ( 6 2 )	 ( 2147483647 0 )	 ( 6 3 )	 ( 6 3 )	 ( 8 2 )	 ( 8 3 )	 ( 5 3 )	 ( 8 3 )	 ( 8 3 )	 ( 7 2 )	 ( 40 1 )	 ( 8 3 )	 ( 50 1 )	 ( 40 1 )	 ( 5 4 )	 ( 4 4 )	 ( 5 4 )	 ( 8 4 )	 ( 8 4 )	 ( 8 4 )	 ( 8 4 )	 ( 8 4 )	 ( 50 1 )	 ( 7 2 )	 ( 40 1 )	 ( 6 4 )	 ( 6 3 )	 ( 6 3 )	 ( 6 4 )	 ( 6 5 )	 ( 6 4 )	 ( 6 4 )	 ( 8 5 )	 ( 11 2 )	 ( 16 2 )	 ( 11 3 )	 ( 50 1 )	 ( 28 1 )	 ( 6 4 )	 ( 6 4 )	 ( 6 3 )	 ( 6 3 )	 ( 40 2 )	 ( 14 3 )	 ( 5 4 )	 ( 14 4 )	 ( 14 4 )	 ( 14 4 )	 ( 8 4 )	 ( 8 4 )	 ( 7 3 )	 ( 10 3 )	 ( 6 4 )	 ( 6 4 )	 ( 6 3 )	 ( 6 5 )	 ( 6 4 )	 ( 6 4 )	 ( 10 2 )	 ( 8 4 )	 ( 11 4 )	 ( 5 4 )	 ( 8 4 )	 ( 5 4 )	 ( 6 5 )	 ( 5 5 )	 ( 6 5 )	 ( 6 5 )	 ( 6 4 )
5	 ( 28 2 )	 ( 28 2 )	 ( 40 2 )	 ( 50 1 )	 ( 6 3 )	 ( 2147483647 0 )	 ( 40 2 )	 ( 6 5 )	 ( 4 5 )	 ( 4 4 )	 ( 6 6 )	 ( 4 4 )	 ( 6 5 )	 ( 6 4 )	 ( 6 6 )	 ( 6 4 )	 ( 6 4 )	 ( 4 3 )	 ( 4 2 )	 ( 4 4 )	 ( 4 5 )	 ( 4 5 )	 ( 4 5 )	 ( 4 5 )	 ( 4 3 )	 ( 6 4 )	 ( 6 5 )	 ( 6 4 )	 ( 40 2 )	 ( 50 1 )	 ( 40 3 )	 ( 40 1 )	 ( 18 2 )	 ( 40 3 )	 ( 18 1 )	 ( 4 6 )	 ( 14 2 )	 ( 14 3 )	 ( 50 1 )	 ( 11 3 )	 ( 6 4 )	 ( 33 2 )	 ( 25 3 )	 ( 22 2 )	 ( 28 1 )	 ( 11 4 )	 ( 6 3 )	 ( 10 3 )	 ( 6 3 )	 ( 7 4 )	 ( 6 4 )	 ( 4 4 )	 ( 4 6 )	 ( 6 6 )	 ( 6 6 )	 ( 20 2 )	 ( 22 2 )	 ( 22 1 )	 ( 40 2 )	 ( 10 2 )	 ( 16 2 )	 ( 6 5 )	 ( 4 5 )	 ( 50 2 )	 ( 4 5 )	 ( 4 6 )	 ( 4 5 )	 ( 16 3 )	 ( 16 4 )	 ( 16 3 )	 ( 16 3 )	 ( 20 3 )
6	 ( 28 2 )	 ( 25 2 )	 ( 28 2 )	 ( 40 1 )	 ( 6 3 )	 ( 40 2 )	 ( 2147483647 0 )	 ( 6 5 )	 ( 4 5 )	 ( 4 4 )	 ( 6 6 )	 ( 4 4 )	 ( 6 5 )	 ( 6 4 )	 ( 6 6 )	 ( 6 4 )	 ( 6 4 )	 ( 4 3 )	 ( 4 2 )	 ( 4 4 )	 ( 4 5 )	 ( 4 5 )	 ( 4 5 )	 ( 4 5 )	 ( 4 3 )	 ( 6 4 )	 ( 6 5 )	 ( 6 4 )	 ( 50 3 )	 ( 40 3 )	 ( 25 2 )	 ( 40 3 )	 ( 50 2 )	 ( 50 1 )	 ( 50 1 )	 ( 4 6 )	 ( 14 2 )	 ( 14 3 )	 ( 18 1 )	 ( 11 3 )	 ( 6 4 )	 ( 25 2 )	 ( 25 1 )	 ( 18 2 )	 ( 25 1 )	 ( 11 4 )	 ( 6 3 )	 ( 16 4 )	 ( 6 4 )	 ( 6 4 )	 ( 6 4 )	 ( 4 4 )	 ( 4 6 )	 ( 6 6 )	 ( 6 6 )	 ( 20 3 )	 ( 25 3 )	 ( 25 2 )	 ( 25 3 )	 ( 16 3 )	 ( 16 2 )	 ( 6 5 )	 ( 4 5 )	 ( 18 2 )	 ( 4 5 )	 ( 4 6 )	 ( 4 5 )	 ( 16 3 )	 ( 16 4 )	 ( 16 3 )	 ( 16 3 )	 ( 18 3 )
7	 ( 6 3 )	 ( 6 4 )	 ( 6 4 )	 ( 6 4 )	 ( 8 2 )	 ( 6 5 )	 ( 6 5 )	 ( 2147483647 0 )	 ( 12 1 )	 ( 5 1 )	 ( 40 1 )	 ( 50 1 )	 ( 50 1 )	 ( 8 1 )	 ( 50 1 )	 ( 8 2 )	 ( 8 2 )	 ( 5 2 )	 ( 25 3 )	 ( 5 2 )	 ( 50 2 )	 ( 25 2 )	 ( 22 2 )	 ( 25 2 )	 ( 25 2 )	 ( 8 2 )	 ( 7 2 )	 ( 8 2 )	 ( 6 6 )	 ( 6 5 )	 ( 6 5 )	 ( 6 6 )	 ( 6 7 )	 ( 6 6 )	 ( 6 6 )	 ( 25 3 )	 ( 8 4 )	 ( 8 4 )	 ( 4 4 )	 ( 8 3 )	 ( 8 2 )	 ( 6 6 )	 ( 6 6 )	 ( 6 4 )	 ( 6 5 )	 ( 8 2 )	 ( 8 3 )	 ( 5 3 )	 ( 8 4 )	 ( 5 2 )	 ( 5 3 )	 ( 12 2 )	 ( 25 2 )	 ( 20 2 )	 ( 50 2 )	 ( 6 5 )	 ( 6 6 )	 ( 6 5 )	 ( 6 7 )	 ( 5 4 )	 ( 5 4 )	 ( 8 2 )	 ( 12 2 )	 ( 4 5 )	 ( 5 2 )	 ( 12 2 )	 ( 5 2 )	 ( 5 3 )	 ( 5 4 )	 ( 5 4 )	 ( 5 4 )	 ( 6 5 )
8	 ( 6 4 )	 ( 6 5 )	 ( 6 5 )	 ( 6 5 )	 ( 8 3 )	 ( 4 5 )	 ( 4 5 )	 ( 12 1 )	 ( 2147483647 0 )	 ( 5 2 )	 ( 18 1 )	 ( 20 1 )	 ( 20 2 )	 ( 8 2 )	 ( 12 2 )	 ( 8 3 )	 ( 8 3 )	 ( 5 3 )	 ( 20 3 )	 ( 5 3 )	 ( 20 2 )	 ( 20 2 )	 ( 20 2 )	 ( 20 2 )	 ( 20 2 )	 ( 8 3 )	 ( 7 3 )	 ( 8 3 )	 ( 6 7 )	 ( 6 6 )	 ( 6 6 )	 ( 4 6 )	 ( 4 7 )	 ( 4 6 )	 ( 4 6 )	 ( 20 3 )	 ( 8 5 )	 ( 8 5 )	 ( 4 4 )	 ( 8 4 )	 ( 8 3 )	 ( 4 6 )	 ( 4 6 )	 ( 6 5 )	 ( 6 6 )	 ( 8 3 )	 ( 8 4 )	 ( 5 4 )	 ( 8 5 )	 ( 5 3 )	 ( 5 4 )	 ( 25 1 )	 ( 20 3 )	 ( 12 3 )	 ( 12 3 )	 ( 6 6 )	 ( 6 7 )	 ( 6 6 )	 ( 4 7 )	 ( 5 5 )	 ( 5 5 )	 ( 8 3 )	 ( 50 1 )	 ( 4 5 )	 ( 5 3 )	 ( 20 1 )	 ( 12 2 )	 ( 5 4 )	 ( 5 5 )	 ( 5 5 )	 ( 5 5 )	 ( 6 6 )
9	 ( 5 4 )	 ( 6 4 )	 ( 6 4 )	 ( 6 5 )	 ( 5 3 )	 ( 4 4 )	 ( 4 4 )	 ( 5 1 )	 ( 5 2 )	 ( 2147483647 0 )	 ( 5 2 )	 ( 5 2 )	 ( 5 2 )	 ( 5 2 )	 ( 5 2 )	 ( 5 3 )	 ( 5 3 )	 ( 13 1 )	 ( 13 2 )	 ( 33 1 )	 ( 5 3 )	 ( 5 3 )	 ( 5 3 )	 ( 5 3 )	 ( 13 3 )	 ( 5 3 )	 ( 5 3 )	 ( 5 3 )	 ( 6 5 )	 ( 6 5 )	 ( 6 4 )	 ( 4 5 )	 ( 6 6 )	 ( 4 5 )	 ( 4 5 )	 ( 5 4 )	 ( 4 4 )	 ( 14 5 )	 ( 4 3 )	 ( 14 4 )	 ( 5 3 )	 ( 6 5 )	 ( 6 5 )	 ( 6 3 )	 ( 6 4 )	 ( 14 3 )	 ( 28 2 )	 ( 7 2 )	 ( 25 3 )	 ( 28 1 )	 ( 28 2 )	 ( 5 3 )	 ( 5 3 )	 ( 5 3 )	 ( 5 3 )	 ( 6 4 )	 ( 7 5 )	 ( 7 4 )	 ( 7 6 )	 ( 7 3 )	 ( 6 3 )	 ( 5 3 )	 ( 5 3 )	 ( 4 4 )	 ( 50 1 )	 ( 12 2 )	 ( 40 1 )	 ( 6 2 )	 ( 7 3 )	 ( 7 3 )	 ( 7 3 )	 ( 6 4 )
